;trait_index;trait_subindex;Ochos;Arcy;La Naulette;Malarnaud;Podbaby;Tilbury;Sligo;Spy I;Spy II;Krapina piece 1; Krapina piece 2;Krapina;Krapina A;Krapina B;Krapina C;Krapina D;Krapina E;Krapina F;Krapina G;Krapina H;Krapina I;Neandertal;Gibraltar;Pithecanthropus;Kannstatt;Galey Hill;Brunn;Brux;Egisheim;Nowosiolka;trait_name_pl;trait_name_de_Czekanowskis_TabelleI;Czekanowskis_trait_index_TabelleI;trait_name_eng;units;p25_similarity_table_x_column;p25_similarity_table_trait_index;components_index_variable;dependent_index_variable
trait_value;I;1;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;16;Grubosc luku nadoczodolowego prawego przy krawedzi medyalnej;;;;mm;1;1;FALSE;FALSE
trait_value;I;2;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;8;Grubosc luku nadoczodolowego prawego  w miejscu najcienszem;;;;mm;1;1;FALSE;FALSE
trait_value;I;3;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;9;Grubosc luku nadoczodolowego prawego przy krawedzi lateralnej;;;;mm;1;1;FALSE;FALSE
trait_value;I;4;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;16;Grubosc luku nadoczodolowego lewego przy krawedzi medyalnej;;;;mm;1;1;FALSE;FALSE
trait_value;I;5;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;7;Grubosc luku nadoczodolowego lewego w miejscu najcienszem;;;;mm;1;1;FALSE;FALSE
trait_value;I;6;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;10;Grubosc luku nadoczodolowego lewego  przy krawedzi lateralnej;;;;mm;1;1;FALSE;FALSE
trait_value;I;7;;;;;;;;;;;;;;;13.8;11.3;;;;;;;;;;;;;;;Grubosc luku nadoczodolowego przy krawedzi medyalnej;;;;mm;1;1;FALSE;FALSE
trait_value;I;8;;;;;;;;;;9;4;;;;9.5;9.3;;;;;;;;;;;;;;;Grubosc luku nadoczodolowego  w miejscu najcienszem;;;;mm;1;1;FALSE;FALSE
trait_value;I;9;;;;;;;;;;;;;;;12.1;11.5;;;;;;;;;;;;;;;Grubosc luku nadoczodolowego  przy krawedzi lateralnej;;;;;;;FALSE;FALSE
trait_value;II;1;;;;;;;;32;;28;;;;;29;;;;;;;30;20;;26.2;;;31;;30;Cieciwa miedzyoczodolowa (dakryon-dakryon);Interorbitalbreite(Dakryon-Dakryon);1;;mm;1;2;TRUE;FALSE
